KEY,EN
MY WALLET,My Wallet
TOTAL BALANCE,Total Balance
DEPOSIT,Deposit
WITHDRAWAL,Withdrawal
PAYMENT HISTORY,Payment History
ADJUSTMENT,Adjustment
DEPOSIT AMOUNT,Deposit Amount
ADDRESS,Address
EXPORT QR CODE,Export QR code
CONFIRM,Confirm
AMOUNT,Amount
RECIPIENT'S ADDRESS,Recipient's Address
WITHDRAWAL AMOUNT,Withdrawal Amount
TRANSACTION FEE,Transaction fee
ACTUAL WITHDRAWAL,Actual withdrawal
WITHDRAWAL COMPLETED,Withdrawal Completed
BACK TO MY WALLET,Back to my Wallet
PROCESSING,Processing
SUCCESS,Success
FAIL,Fail
NO RECORDS,No Records
ACTION IS FORBIDDED.,Action is forbidded.
SUSPICIOUS ACTIVITY HAS BEEN DETECTED.,Suspicious activity has been detected.
LOGOUT,Logout
INSUFFICIENT FUND.,Insufficient fund.
NOT ENOUGH FUND TO WITHDRAW.,Not enough fund to withdraw.
